service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20220424,20220625
2,0,0,0,0,0,0,0,20220424,20220625
3,1,1,1,1,1,0,0,20220424,20220625
4,0,0,0,0,0,0,1,20220424,20220625
2287,0,0,0,0,0,1,0,20220424,20220625
2288,0,0,0,0,0,0,0,20220424,20220625
2289,1,1,1,1,1,0,0,20220424,20220625
2290,0,0,0,0,0,0,1,20220424,20220625
S,0,0,0,0,0,1,0,20220424,20220625
W,1,1,1,1,1,0,0,20220424,20220625
U,0,0,0,0,0,0,1,20220424,20220625
