route_id,direction_id,stop_id,headway_min
1,1,5560,30.0
1,1,12626,30.666666666666668
1,1,12634,30.0
1,1,12635,30.0
1,1,12638,30.0
1,1,12639,30.0
1,1,12640,30.0
1,1,12642,30.0
1,1,12644,30.0
1,1,12645,30.0
1,1,12646,30.0
1,1,12647,30.0
1,1,12650,30.0
1,1,12651,30.0
1,1,12652,30.0
1,1,12656,30.0
1,1,12658,30.0
1,1,12659,30.0
1,1,12660,30.0
1,1,12661,30.0
1,1,12662,30.0
1,1,12663,30.0
1,1,12664,30.0
1,1,12665,30.0
1,1,12666,30.0
1,1,12668,30.0
1,1,12670,30.0
1,1,12671,30.0
1,1,12673,30.0
1,1,12675,30.0
1,1,12678,30.0
1,1,12680,30.0
1,1,12683,30.0
1,1,12684,31.0
1,1,12685,31.0
1,1,12686,31.0
1,1,12687,31.0
1,1,12689,31.0
1,1,12693,31.0
1,1,12694,31.0
1,1,12695,31.0
1,1,12696,31.0
1,1,12697,31.0
1,1,12698,31.0
1,1,12699,31.0
1,1,12700,31.5
1,1,12701,31.5
1,1,12702,31.5
1,1,12703,31.5
1,1,12704,31.5
1,1,12705,31.5
1,1,12706,31.5
1,1,12707,31.5
1,1,12708,31.5
1,1,12710,31.5
1,1,12711,31.5
1,1,12830,30.0
1,1,15283,30.666666666666668
1,1,15284,30.333333333333332
1,1,15285,30.333333333333332
1,1,175,30.666666666666668
1,1,16595,30.0
1,1,16887,31.0
1,1,17355,31.0
1,1,17356,31.0
1,1,18337,30.0
1,1,18339,30.0
1,1,18341,30.0
1,1,18342,30.0
1,1,18348,30.0
1,1,18349,30.0
1,1,18354,30.666666666666668
1,1,1997,30.666666666666668
1,1,1998,30.666666666666668
1,1,9329,31.0
1,1,19822,30.0
1,1,20674,31.0
1,1,20781,30.666666666666668
1,1,3173,31.0
1,1,3174,31.0
1,1,3175,31.0
1,1,3177,31.0
1,1,3178,31.0
1,1,3179,31.0
1,1,3180,31.0
1,1,3183,31.0
1,1,3185,31.0
1,1,3186,31.0
1,1,3187,31.0
1,1,3188,31.0
1,1,3189,31.0
1,1,3190,31.0
1,1,3191,31.0
1,1,3192,31.0
1,1,3195,31.0
1,1,3196,31.0
1,1,3197,31.0
1,1,3198,31.0
1,1,3203,31.0
1,1,3204,31.0
1,1,3205,31.0
1,1,3206,31.0
1,1,3207,31.0
1,1,3208,31.0
1,1,3210,31.0
1,1,3369,31.5
1,1,3370,31.5
1,1,3371,31.666666666666668
1,1,20817,30.0
1,1,21328,31.0
1,1,21329,30.666666666666668
